Date,Open,High,Low,Close,AdjClose,Volume,Buy
2022-03-21,7800.000000,7950.000000,7800.000000,7900.000000,7750.496094,85485500,Yes
2022-03-22,7900.000000,7950.000000,7875.000000,7925.000000,7775.022949,60010900,No
2022-03-23,7925.000000,7950.000000,7825.000000,7900.000000,7750.496094,82208000,Yes
2022-03-24,7850.000000,7950.000000,7800.000000,7925.000000,7775.022949,95245100,Yes
2022-03-25,7900.000000,7950.000000,7900.000000,7950.000000,7799.549805,85101200,No
2022-03-28,7825.000000,7900.000000,7800.000000,7900.000000,7869.277832,83911500,No
2022-03-29,7875.000000,7900.000000,7825.000000,7850.000000,7819.472168,62180600,Yes
2022-03-30,7900.000000,7900.000000,7825.000000,7875.000000,7844.375000,71430600,Yes
2022-03-31,7925.000000,8000.000000,7875.000000,7975.000000,7943.985840,112691900,Yes
2022-04-01,8075.000000,8075.000000,7850.000000,7925.000000,7894.180664,105575400,No
2022-04-04,7925.000000,7925.000000,7825.000000,7900.000000,7869.277832,57321200,Yes
2022-04-05,7900.000000,7900.000000,7850.000000,7900.000000,7869.277832,48528300,Yes
2022-04-06,7825.000000,7850.000000,7750.000000,7750.000000,7719.860840,119263000,Yes
2022-04-07,7725.000000,7825.000000,7700.000000,7750.000000,7719.860840,68619400,No
2022-04-08,7800.000000,7875.000000,7775.000000,7850.000000,7819.472168,69791600,No
2022-04-11,7825.000000,7875.000000,7725.000000,7725.000000,7694.958008,62776200,Yes
2022-04-12,7725.000000,7800.000000,7700.000000,7800.000000,7769.666504,73471300,No
2022-04-13,7800.000000,7850.000000,7750.000000,7800.000000,7769.666504,57622100,Yes
2022-04-14,7800.000000,7800.000000,7700.000000,7700.000000,7670.055664,93342900,Yes
2022-04-18,7700.000000,7725.000000,7625.000000,7700.000000,7670.055664,68464700,No
2022-04-19,7700.000000,7700.000000,7625.000000,7625.000000,7595.347168,98632000,No
2022-04-20,7725.000000,7725.000000,7625.000000,7650.000000,7620.250000,124388800,Yes
2022-04-21,7800.000000,7925.000000,7750.000000,7925.000000,7894.180664,129323400,Yes
2022-04-22,7850.000000,7925.000000,7800.000000,7875.000000,7844.375000,85956100,No
2022-04-25,7875.000000,8000.000000,7825.000000,8000.000000,7968.888672,91279600,No
2022-04-26,7925.000000,8125.000000,7925.000000,8125.000000,8093.402832,128360900,Yes
2022-04-27,8075.000000,8200.000000,8075.000000,8200.000000,8168.110840,89463100,No
2022-04-28,8250.000000,8250.000000,8075.000000,8125.000000,8093.402832,133730600,Yes
2022-05-09,7875.000000,7900.000000,7600.000000,7600.000000,7570.444336,456796600,Yes
2022-05-10,7250.000000,7600.000000,7250.000000,7525.000000,7495.735840,268445700,No
2022-05-11,7525.000000,7700.000000,7450.000000,7650.000000,7620.250000,156535200,No
2022-05-12,7525.000000,7550.000000,7275.000000,7275.000000,7246.708008,240529600,No
2022-05-13,7250.000000,7475.000000,7250.000000,7325.000000,7296.513672,212968600,Yes
2022-05-17,7275.000000,7475.000000,7275.000000,7400.000000,7371.222168,159657600,No
2022-05-18,7500.000000,7575.000000,7375.000000,7575.000000,7545.541504,153514300,Yes
2022-05-19,7400.000000,7475.000000,7375.000000,7450.000000,7421.027832,140908900,Yes
2022-05-20,7425.000000,7475.000000,7400.000000,7400.000000,7371.222168,86520200,No
2022-05-23,7450.000000,7475.000000,7350.000000,7375.000000,7346.319336,71603500,No
2022-05-24,7325.000000,7475.000000,7325.000000,7350.000000,7321.416504,108710800,Yes
2022-05-25,7400.000000,7450.000000,7350.000000,7375.000000,7346.319336,76747400,Yes
2022-05-27,7525.000000,7575.000000,7475.000000,7575.000000,7545.541504,84336900,Yes
2022-05-30,7575.000000,7600.000000,7475.000000,7575.000000,7545.541504,105411400,No
2022-05-31,7600.000000,7750.000000,7525.000000,7750.000000,7719.860840,286292700,Yes
2022-06-02,7625.000000,7675.000000,7525.000000,7575.000000,7545.541504,149226300,Yes
2022-06-03,7600.000000,7675.000000,7575.000000,7600.000000,7570.444336,80563100,Yes
2022-06-06,7550.000000,7575.000000,7425.000000,7450.000000,7421.027832,81140300,Yes
2022-06-07,7300.000000,7475.000000,7300.000000,7375.000000,7346.319336,129242500,Yes
2022-06-08,7500.000000,7600.000000,7425.000000,7600.000000,7570.444336,108910500,Yes
2022-06-09,7500.000000,7575.000000,7500.000000,7500.000000,7470.833008,107828300,Yes
